Source,Target,Weight,Type
4,36,2.15,Directed
4,40,6.127000000000001,Directed
4,56,0.118,Directed
4,104,9.6,Directed
4,120,0.806,Directed
4,124,0.08800000000000001,Directed
4,208,0.069,Directed
4,214,157.291,Directed
4,218,59.236999999999995,Directed
4,258,1.145,Directed
4,276,11.713,Directed
4,288,6.628,Directed
4,340,10.847,Directed
4,360,0.22,Directed
4,376,34.0,Directed
4,384,0.176,Directed
4,414,0.731,Directed
4,470,0.665,Directed
4,508,0.589,Directed
4,524,0.036000000000000004,Directed
4,591,4.21,Directed
4,662,0.558,Directed
4,686,33.21,Directed
4,699,33.064,Directed
4,710,3.899,Directed
4,724,1081.203,Directed
4,757,7.51,Directed
4,762,33.864,Directed
4,764,0.165,Directed
4,784,0.135,Directed
4,792,26.835,Directed
4,826,3.1020000000000003,Directed
4,854,2.348,Directed
8,24,0.013,Directed
8,31,24.293999999999997,Directed
8,40,0.404,Directed
8,51,11.1,Directed
8,52,0.26,Directed
8,56,0.038,Directed
8,100,161.843,Directed
8,124,17.423000000000002,Directed
8,152,104.865,Directed
8,178,1.268,Directed
8,214,9.094,Directed
8,251,1835.5500000000002,Directed
8,276,2197.641,Directed
8,300,380.873,Directed
8,340,131.572,Directed
8,348,25.094,Directed
8,380,3725.322,Directed
8,384,304.102,Directed
8,417,0.057,Directed
8,442,0.01,Directed
8,466,31.468,Directed
8,508,384.565,Directed
8,528,1280.37,Directed
8,558,0.078,Directed
8,562,107.924,Directed
8,600,734.605,Directed
8,616,4.911,Directed
8,634,230.869,Directed
8,642,5.031,Directed
8,686,38.619,Directed
8,688,6187.211,Directed
8,705,32.444,Directed
8,724,0.187,Directed
8,752,1.055,Directed
8,757,548.1640000000001,Directed
8,762,0.033,Directed
8,792,422.407,Directed
8,800,3.564,Directed
8,807,274.913,Directed
8,826,14.347999999999999,Directed
12,24,0.207,Directed
12,32,7.2,Directed
12,36,6.402,Directed
12,40,0.198,Directed
12,56,1357.482,Directed
12,112,1369.767,Directed
12,120,46.286,Directed
12,124,0.377,Directed
12,132,129.233,Directed
12,148,0.084,Directed
12,156,0.074,Directed
12,178,9.481000000000002,Directed
12,204,9.354,Directed
12,208,0.62,Directed
12,214,327.576,Directed
12,246,0.115,Directed
12,251,7995.152,Directed
12,258,0.102,Directed
12,266,33.044,Directed
12,276,44.993,Directed
12,300,47.29600000000001,Directed
12,324,4.476,Directed
12,344,0.01,Directed
12,368,48.249,Directed
12,372,99.81,Directed
12,380,433.545,Directed
12,384,3204.781,Directed
12,400,547.703,Directed
12,410,0.523,Directed
12,422,165.466,Directed
12,434,1942.534,Directed
12,442,0.389,Directed
12,466,383.702,Directed
12,478,1111.652,Directed
12,480,1.727,Directed
12,504,873.568,Directed
12,512,49.917,Directed
12,516,5.314,Directed
12,528,2589.243,Directed
12,562,25.68,Directed
12,579,0.611,Directed
12,616,1824.868,Directed
12,626,0.373,Directed
12,682,2983.506,Directed
12,686,238.626,Directed
12,688,0.014,Directed
12,699,2.037,Directed
12,704,120.965,Directed
12,710,519.656,Directed
12,724,1.113,Directed
12,729,0.08,Directed
12,752,0.022,Directed
12,757,35.507000000000005,Directed
12,768,1.267,Directed
12,784,14.542000000000002,Directed
12,788,125.231,Directed
12,792,327.498,Directed
12,807,4.427,Directed
12,818,0.031,Directed
12,826,86.076,Directed
12,842,0.09699999999999999,Directed
12,854,98.946,Directed
12,858,22.5,Directed
16,28,0.065,Directed
16,104,1439.994,Directed
16,120,0.351,Directed
16,124,0.286,Directed
16,222,28.788,Directed
16,251,97.625,Directed
16,348,16.912,Directed
16,360,30.375,Directed
16,404,95.91499999999999,Directed
16,554,1.767,Directed
16,702,0.149,Directed
16,703,0.659,Directed
16,776,0.021,Directed
16,826,7.578,Directed
16,882,3.732,Directed
16,894,16.019000000000002,Directed
20,32,12.065,Directed
20,36,0.153,Directed
20,40,2.882,Directed
20,52,0.926,Directed
20,56,7.614,Directed
20,124,31.417,Directed
20,144,1.703,Directed
20,152,1.831,Directed
20,156,0.208,Directed
20,170,1.29,Directed
20,208,0.5479999999999999,Directed
20,214,0.178,Directed
20,222,448.399,Directed
20,231,0.02,Directed
20,233,0.017,Directed
20,242,11.611,Directed
20,246,0.344,Directed
20,251,9.283,Directed
20,268,0.532,Directed
20,276,20.54,Directed
20,300,0.186,Directed
20,304,1.712,Directed
20,328,1.217,Directed
20,360,32.328,Directed
20,372,1.92,Directed
20,376,0.478,Directed
20,380,2.512,Directed
20,384,30.281,Directed
20,470,0.477,Directed
