Source,Target,Weight,Type
4,124,0.003,Directed
4,214,48.402,Directed
4,276,2.281,Directed
4,288,6.628,Directed
4,360,0.22,Directed
4,524,0.024,Directed
4,662,0.558,Directed
4,699,33.064,Directed
4,710,0.019,Directed
4,724,324.452,Directed
4,762,15.164,Directed
4,784,0.135,Directed
8,31,2.833,Directed
8,56,0.038,Directed
8,124,16.349,Directed
8,152,95.341,Directed
8,178,0.853,Directed
8,214,8.439,Directed
8,251,137.393,Directed
8,276,0.003,Directed
8,300,173.22699999999998,Directed
8,340,113.373,Directed
8,348,14.257,Directed
8,380,1650.0859999999998,Directed
8,417,0.057,Directed
8,508,384.565,Directed
8,528,515.91,Directed
8,562,0.126,Directed
8,616,2.813,Directed
8,686,14.219999999999999,Directed
8,688,1693.071,Directed
8,705,7.581,Directed
8,792,213.374,Directed
8,800,3.564,Directed
8,807,109.011,Directed
8,826,4.2,Directed
12,32,7.2,Directed
12,56,19.099,Directed
12,112,159.8,Directed
12,120,10.598,Directed
12,124,0.02,Directed
12,178,3.7750000000000004,Directed
12,208,0.063,Directed
12,214,12.518,Directed
12,251,3886.0460000000003,Directed
12,266,5.355,Directed
12,276,29.503,Directed
12,300,6.041,Directed
12,372,3.7990000000000004,Directed
12,380,35.194,Directed
12,384,314.469,Directed
12,400,155.98899999999998,Directed
12,434,513.184,Directed
12,466,0.226,Directed
12,478,436.124,Directed
12,504,243.334,Directed
12,512,49.917,Directed
12,516,5.314,Directed
12,528,4.598,Directed
12,562,7.2059999999999995,Directed
12,616,672.707,Directed
12,626,0.373,Directed
12,682,606.631,Directed
12,699,0.066,Directed
12,704,47.081,Directed
12,710,99.66300000000001,Directed
12,724,0.194,Directed
12,768,1.267,Directed
12,784,11.775,Directed
12,788,33.804,Directed
12,818,0.031,Directed
12,854,20.75,Directed
12,858,22.5,Directed
16,251,97.625,Directed
16,404,47.138,Directed
16,776,0.021,Directed
16,826,7.578,Directed
16,882,3.183,Directed
16,894,16.019000000000002,Directed
20,32,0.072,Directed
20,56,6.619,Directed
20,124,0.095,Directed
20,144,1.703,Directed
20,152,0.947,Directed
20,156,0.208,Directed
20,170,0.606,Directed
20,222,448.399,Directed
20,231,0.02,Directed
20,251,1.804,Directed
20,276,4.844,Directed
20,372,0.179,Directed
20,376,0.1,Directed
20,380,0.561,Directed
20,384,23.028,Directed
20,470,0.156,Directed
20,484,0.9249999999999999,Directed
20,498,1.165,Directed
20,508,34.202,Directed
20,516,0.14,Directed
20,528,0.375,Directed
20,562,50.552,Directed
20,604,0.27,Directed
20,634,0.533,Directed
20,710,13.444,Directed
20,724,0.854,Directed
20,752,0.994,Directed
20,757,0.212,Directed
20,826,4.161,Directed
24,76,0.171,Directed
24,124,0.388,Directed
24,156,0.992,Directed
24,178,0.459,Directed
24,180,1.59,Directed
24,214,2.123,Directed
24,251,0.18,Directed
24,266,0.364,Directed
24,276,0.011,Directed
24,320,0.166,Directed
24,372,0.003,Directed
24,376,2.0,Directed
24,508,2.061,Directed
24,516,0.178,Directed
24,566,0.02,Directed
24,620,146.28699999999998,Directed
24,678,14.238999999999999,Directed
24,699,543.909,Directed
24,702,0.007,Directed
24,710,0.047,Directed
24,724,17.849999999999998,Directed
24,748,0.082,Directed
24,784,0.419,Directed
24,826,0.033,Directed
28,52,21.677,Directed
28,92,16.439,Directed
28,124,0.012,Directed
28,212,20.813000000000002,Directed
28,218,86.113,Directed
28,308,4.118,Directed
28,500,14.813,Directed
28,659,0.185,Directed
28,662,0.398,Directed
28,670,1.41,Directed
28,686,11.216,Directed
28,702,52.298,Directed
28,710,2.227,Directed
28,752,0.423,Directed
28,780,39.032000000000004,Directed
28,842,6.721,Directed
31,40,347.837,Directed
31,48,0.928,Directed
31,104,16.1,Directed
31,112,149.658,Directed
31,124,3.355,Directed
31,191,0.5,Directed
31,268,528.741,Directed
31,276,8.026,Directed
31,344,1.672,Directed
31,364,49.854,Directed
31,410,11.269,Directed
31,428,458.238,Directed
31,442,0.543,Directed
31,528,121.463,Directed
31,616,0.01,Directed
31,643,33.228,Directed
31,705,0.708,Directed
31,748,0.29,Directed
31,757,136.138,Directed
31,792,20.432000000000002,Directed
31,826,1.647,Directed
31,842,0.009000000000000001,Directed
32,28,18.406,Directed
32,31,1184.8980000000001,Directed
32,36,657.575,Directed
32,40,5120.09,Directed
32,44,1.229,Directed
32,48,591.9,Directed
32,52,537.936,Directed
32,56,4.646,Directed
32,68,23214.498,Directed
32,70,146.687,Directed
32,76,95608.254,Directed
32,84,76.183,Directed
32,100,24.493000000000002,Directed
32,104,1212.453,Directed
32,112,90.4,Directed
32,116,17.904,Directed
32,120,43.284,Directed
32,124,11840.809000000001,Directed
32,144,1621.537,Directed
32,152,38764.657,Directed
32,156,65724.667,Directed
32,170,47955.656,Directed
32,188,5609.7570000000005,Directed
32,191,4.176,Directed
32,192,2765.476,Directed
32,203,86.84300000000002,Directed
32,204,197.164,Directed
32,208,1288.1119999999999,Directed
32,214,18461.338,Directed
32,218,53927.665,Directed
32,222,7140.784999999999,Directed
32,233,2.025,Directed
32,246,395.738,Directed
32,251,21709.801,Directed
32,258,2.239,Directed
32,266,710.366,Directed
