Source,Target,Weight,Type
4,36,2.15,Directed
4,56,0.23199999999999998,Directed
4,120,0.806,Directed
4,124,4.072,Directed
4,218,48.205,Directed
4,251,8.795,Directed
4,276,16.085,Directed
4,372,0.022000000000000002,Directed
4,392,3.138,Directed
4,724,0.303,Directed
4,764,0.197,Directed
4,792,0.815,Directed
4,826,4.95,Directed
8,40,2.48,Directed
8,56,2.9429999999999996,Directed
8,100,5.783,Directed
8,124,17.024,Directed
8,152,95.687,Directed
8,196,0.7330000000000001,Directed
8,203,1.222,Directed
8,208,0.028,Directed
8,214,1.14,Directed
8,246,0.721,Directed
8,251,14.100999999999999,Directed
8,276,19.398,Directed
8,348,0.001,Directed
8,372,0.068,Directed
8,380,467.717,Directed
8,404,0.098,Directed
8,442,0.01,Directed
8,528,27.641000000000002,Directed
8,600,734.605,Directed
8,616,11.26,Directed
8,634,14.117,Directed
8,686,19.526,Directed
8,688,54.179,Directed
8,703,0.043,Directed
8,705,0.132,Directed
8,710,0.085,Directed
8,724,0.993,Directed
8,752,1.055,Directed
8,757,8.957,Directed
8,792,0.051,Directed
8,842,30.224,Directed
12,40,2.027,Directed
12,56,864.607,Directed
12,124,0.112,Directed
12,152,7.946,Directed
12,156,0.074,Directed
12,196,0.001,Directed
12,204,0.082,Directed
12,208,4.965,Directed
12,214,31.845,Directed
12,233,0.001,Directed
12,246,0.116,Directed
12,251,429.867,Directed
12,276,2.234,Directed
12,344,0.01,Directed
12,348,165.75,Directed
12,372,102.706,Directed
12,380,19.089,Directed
12,410,0.022,Directed
12,434,750.313,Directed
12,442,0.39399999999999996,Directed
12,466,81.527,Directed
12,478,179.316,Directed
12,528,1.5030000000000001,Directed
12,579,0.611,Directed
12,616,17.082,Directed
12,620,0.33999999999999997,Directed
12,699,0.025,Directed
12,702,0.004,Directed
12,704,1244.16,Directed
12,724,0.884,Directed
12,757,0.537,Directed
12,784,11.775,Directed
12,792,0.01,Directed
12,826,37.944,Directed
12,842,0.09699999999999999,Directed
16,104,1439.994,Directed
16,124,0.002,Directed
16,251,0.001,Directed
16,372,6646.511,Directed
16,524,2.94,Directed
16,705,0.246,Directed
16,882,0.263,Directed
20,208,0.02,Directed
20,222,2189.0,Directed
20,251,888.231,Directed
20,276,0.022,Directed
20,304,1.712,Directed
20,372,0.094,Directed
20,384,1.012,Directed
20,670,0.38,Directed
20,705,0.958,Directed
20,724,33.425,Directed
20,757,0.428,Directed
24,56,0.009,Directed
24,70,6.774,Directed
24,76,0.264,Directed
24,152,0.453,Directed
24,156,67.432,Directed
24,178,0.147,Directed
24,180,2.6229999999999998,Directed
24,192,0.20600000000000002,Directed
24,196,0.004,Directed
24,226,32.316,Directed
24,251,42.759,Directed
24,380,0.01,Directed
24,414,2983.9210000000003,Directed
24,458,0.111,Directed
24,508,0.087,Directed
24,516,14.024000000000001,Directed
24,566,2.223,Directed
24,620,79.203,Directed
24,678,1.014,Directed
24,710,0.309,Directed
24,724,34.578,Directed
24,784,0.625,Directed
24,826,1.263,Directed
24,842,0.123,Directed
28,52,0.114,Directed
28,124,0.009000000000000001,Directed
28,188,0.047,Directed
28,208,0.5710000000000001,Directed
28,212,38.827,Directed
28,251,2.174,Directed
28,266,13.703,Directed
28,276,2.257,Directed
28,308,0.8959999999999999,Directed
28,404,0.709,Directed
28,500,156.72299999999998,Directed
28,566,75.454,Directed
28,659,0.839,Directed
28,686,24.388,Directed
28,710,68.241,Directed
28,724,0.049,Directed
28,752,0.423,Directed
28,780,0.5509999999999999,Directed
28,818,0.026,Directed
31,40,348.107,Directed
31,56,0.123,Directed
31,112,651.204,Directed
31,124,3.435,Directed
31,208,18.53,Directed
31,246,0.001,Directed
31,268,3.751,Directed
31,276,5.901,Directed
31,348,26.174,Directed
31,398,42.824,Directed
31,410,0.879,Directed
31,498,873.4250000000001,Directed
31,528,0.265,Directed
31,586,4.367,Directed
31,616,1176.471,Directed
31,643,1524.5240000000001,Directed
31,686,1.082,Directed
31,724,4.022,Directed
31,757,3.2249999999999996,Directed
31,762,18.577,Directed
31,784,65.645,Directed
31,792,1313.305,Directed
31,804,9352.307,Directed
31,826,0.02,Directed
31,860,4.25,Directed
32,12,6637.937,Directed
32,24,1603.036,Directed
32,31,1554.926,Directed
32,36,60.412,Directed
32,40,14785.431,Directed
32,48,1650.9630000000002,Directed
32,50,458.103,Directed
32,51,6.137,Directed
32,52,121.366,Directed
32,56,161.222,Directed
32,68,36996.754,Directed
32,76,332916.328,Directed
32,84,36.733000000000004,Directed
32,100,188.487,Directed
32,104,1084.653,Directed
32,112,12.2,Directed
32,116,311.984,Directed
32,120,25.851,Directed
32,124,2510.3869999999997,Directed
32,136,37.812,Directed
32,144,320.375,Directed
32,152,48814.065,Directed
32,156,5933.932000000001,Directed
32,170,136336.055,Directed
32,178,39.634,Directed
32,188,5428.799000000001,Directed
32,192,432.328,Directed
32,196,0.045,Directed
32,203,18.212999999999997,Directed
32,204,63.455,Directed
32,208,3990.197,Directed
32,214,13925.298,Directed
32,218,55808.158,Directed
32,222,718.1740000000001,Directed
32,233,0.003,Directed
32,246,560.08,Directed
32,251,170619.48500000002,Directed
32,266,3955.9080000000004,Directed
32,268,1402.364,Directed
32,275,1.567,Directed
32,276,3964.33,Directed
32,300,1003.5450000000001,Directed
32,320,38956.782,Directed
32,324,33.256,Directed
32,328,78.888,Directed
32,332,182.65,Directed
32,340,2618.635,Directed
32,344,683.5849999999999,Directed
32,348,16.086,Directed
32,360,13446.619999999999,Directed
32,364,1172.728,Directed
32,368,26.68,Directed
32,372,101.89,Directed
32,376,737.013,Directed
32,380,3034.671,Directed
32,384,6456.6179999999995,Directed
32,388,0.406,Directed
32,392,1198.528,Directed
32,398,256.155,Directed
32,400,1404.565,Directed
32,404,854.3629999999999,Directed
32,410,121962.705,Directed
32,414,836.275,Directed
32,418,3.297,Directed
32,422,6003.859,Directed
32,426,21.835,Directed
32,434,65.976,Directed
32,440,41.783,Directed
32,442,0.005,Directed
32,458,450.28700000000003,Directed
32,466,0.574,Directed
32,470,3.9099999999999997,Directed
32,478,10.97,Directed
32,484,44392.371,Directed
32,490,3567.498,Directed
32,496,139.759,Directed
32,504,2867.07,Directed
32,508,47.153,Directed
32,512,308.971,Directed
32,516,26.082,Directed
32,528,1122.6519999999998,Directed
32,554,3020.358,Directed
32,558,2633.857,Directed
32,566,4.113,Directed
32,579,272.07599999999996,Directed
32,586,10628.421,Directed
32,591,8692.635,Directed
32,600,128837.122,Directed
32,604,50721.634,Directed
32,608,3980.866,Directed
32,616,941.6139999999999,Directed
32,620,14.866,Directed
32,634,452.002,Directed
32,642,536.892,Directed
32,643,69393.26299999999,Directed
32,682,3155.327,Directed
32,688,18.683,Directed
32,699,3149.368,Directed
32,702,131.338,Directed
32,704,103196.486,Directed
32,705,91.062,Directed
32,710,25113.659,Directed
32,724,66447.726,Directed
32,752,713.6179999999999,Directed
32,757,2118.483,Directed
32,760,16.948,Directed
32,764,69603.356,Directed
32,768,2.425,Directed
32,780,102.257,Directed
32,784,1280.507,Directed
32,788,1216.466,Directed
32,792,11272.101,Directed
32,800,20.23,Directed
32,804,22957.807,Directed
32,818,4058.867,Directed
32,826,1975.8529999999998,Directed
32,834,12.15,Directed
32,842,47001.733,Directed
32,854,0.264,Directed
32,858,92077.147,Directed
32,860,181.23399999999998,Directed
32,862,5321.839,Directed
32,887,65.365,Directed
32,894,422.076,Directed
36,4,1.954,Directed
36,12,19564.685,Directed
36,20,2.6870000000000003,Directed
36,24,7.238,Directed
36,28,926.514,Directed
36,31,104.557,Directed
36,32,23628.461,Directed
36,40,17161.138,Directed
36,48,3321.456,Directed
36,50,28.777,Directed
36,51,2838.395,Directed
36,56,17401.311,Directed
36,64,24.376,Directed
36,68,608.771,Directed
36,70,8.657,Directed
36,72,72.967,Directed
36,76,23324.131999999998,Directed
36,84,97.675,Directed
36,90,104.086,Directed
36,96,981.413,Directed
36,100,9059.539,Directed
36,104,96.82600000000001,Directed
36,108,1.545,Directed
36,112,7575.367,Directed
36,116,163.31,Directed
36,120,25.019,Directed
36,124,53568.543,Directed
36,132,408.757,Directed
36,136,73.059,Directed
36,140,87.451,Directed
36,144,1408.241,Directed
36,152,3528.853,Directed
36,156,324895.485,Directed
36,162,310.199,Directed
36,166,23.802,Directed
36,170,6490.013,Directed
36,178,3.34,Directed
36,180,0.537,Directed
36,184,0.372,Directed
36,188,368.827,Directed
36,191,46565.58,Directed
36,192,153.837,Directed
36,196,2.067,Directed
36,203,6736.789000000001,Directed
36,204,3.527,Directed
36,208,2811.333,Directed
36,214,700.8230000000001,Directed
36,218,11987.738000000001,Directed
36,222,1725.289,Directed
36,231,1140.539,Directed
36,232,5.319,Directed
36,233,722.451,Directed
36,238,0.969,Directed
36,242,9432.706,Directed
36,246,1465.986,Directed
36,251,98103.951,Directed
36,258,276.66700000000003,Directed
36,262,110.482,Directed
36,266,4.236,Directed
36,268,54.531,Directed
36,275,0.375,Directed
36,276,1456853.199,Directed
36,288,79.01599999999999,Directed
36,296,47.598,Directed
36,300,59.781,Directed
36,316,89.048,Directed
36,320,547.933,Directed
36,328,7.441,Directed
36,340,262.401,Directed
36,344,101520.024,Directed
36,348,472.432,Directed
36,352,119.62799999999999,Directed
36,360,50788.988,Directed
36,364,17811.5,Directed
36,368,358.81100000000004,Directed
36,372,14451.971,Directed
36,376,2635.456,Directed
36,380,4351.161,Directed
36,384,216.493,Directed
36,388,1.494,Directed
36,392,189564.978,Directed
36,398,2428.565,Directed
36,400,1174.959,Directed
36,404,32.136,Directed
36,410,157341.338,Directed
36,414,485.606,Directed
36,417,0.332,Directed
36,418,2275.799,Directed
36,422,1768.806,Directed
36,426,0.001,Directed
36,428,0.663,Directed
36,434,37.007,Directed
36,440,5889.335999999999,Directed
36,442,4.786,Directed
36,446,1362.046,Directed
36,450,8.427,Directed
36,454,176.583,Directed
36,458,22098.166,Directed
36,462,9.415000000000001,Directed
36,466,59.586,Directed
36,470,1446.0939999999998,Directed
36,478,42.989999999999995,Directed
36,480,719.04,Directed
36,484,9734.276,Directed
36,490,110479.167,Directed
36,496,47.94,Directed
36,499,24.485,Directed
36,504,5999.564,Directed
36,508,15.613,Directed
36,512,1160.828,Directed
36,516,71.30199999999999,Directed
36,520,334.55400000000003,Directed
36,524,110.279,Directed
36,528,122466.469,Directed
36,531,15.802,Directed
36,540,7454.313,Directed
36,548,360.52,Directed
36,554,306848.938,Directed
36,558,375.372,Directed
36,562,1985.422,Directed
36,566,36.478,Directed
36,574,315.757,Directed
36,579,446.274,Directed
36,583,96.80600000000001,Directed
36,584,49.937000000000005,Directed
36,585,15.838,Directed
36,586,86.69,Directed
36,591,440.372,Directed
36,598,12946.541000000001,Directed
36,600,99.416,Directed
36,604,2894.342,Directed
36,608,15447.041,Directed
36,616,21289.839,Directed
36,620,9.577,Directed
36,626,352.709,Directed
36,634,2727.458,Directed
36,642,13.143,Directed
36,643,12493.457999999999,Directed
36,646,3.117,Directed
36,682,9914.646999999999,Directed
36,686,9.85,Directed
36,688,245.306,Directed
36,699,74160.644,Directed
36,702,48997.413,Directed
36,703,2900.154,Directed
36,704,21746.027,Directed
36,705,68.382,Directed
36,710,26124.622,Directed
36,716,18.201,Directed
36,724,9648.530999999999,Directed
36,729,155.178,Directed
36,740,2.91,Directed
36,748,3.808,Directed
36,752,2205.484,Directed
36,757,73445.81,Directed
36,762,13.524,Directed
36,764,30529.016,Directed
