Source,Target,Weight,Type
4,56,0.114,Directed
4,124,4.042,Directed
4,251,8.795,Directed
4,276,4.372,Directed
4,372,0.022000000000000002,Directed
4,392,3.138,Directed
4,724,0.194,Directed
4,764,0.032,Directed
4,826,4.95,Directed
8,40,2.48,Directed
8,56,2.9429999999999996,Directed
8,124,16.343,Directed
8,196,0.7330000000000001,Directed
8,203,1.222,Directed
8,208,0.028,Directed
8,214,1.14,Directed
8,246,0.721,Directed
8,251,13.603,Directed
8,276,11.699,Directed
8,348,0.001,Directed
8,372,0.068,Directed
8,380,267.053,Directed
8,404,0.098,Directed
8,528,27.641000000000002,Directed
8,616,6.349,Directed
8,686,4.195,Directed
8,703,0.043,Directed
8,705,0.132,Directed
8,710,0.085,Directed
8,724,0.918,Directed
8,757,0.64,Directed
8,792,0.051,Directed
8,842,30.224,Directed
12,40,2.027,Directed
12,56,0.165,Directed
12,124,0.013000000000000001,Directed
12,152,7.946,Directed
12,196,0.001,Directed
12,208,4.345000000000001,Directed
12,214,3.814,Directed
12,233,0.001,Directed
12,246,0.001,Directed
12,251,188.388,Directed
12,276,1.426,Directed
12,348,165.75,Directed
12,372,9.978,Directed
12,380,19.023,Directed
12,410,0.022,Directed
12,442,0.005,Directed
12,528,0.836,Directed
12,620,0.33999999999999997,Directed
12,699,0.025,Directed
12,702,0.004,Directed
12,704,1244.16,Directed
12,724,0.344,Directed
12,757,0.13999999999999999,Directed
12,792,0.01,Directed
16,124,0.002,Directed
16,251,0.001,Directed
16,372,6646.511,Directed
16,524,2.94,Directed
16,705,0.246,Directed
16,882,0.263,Directed
20,208,0.02,Directed
20,222,2189.0,Directed
20,251,888.231,Directed
20,276,0.022,Directed
20,372,0.094,Directed
20,670,0.38,Directed
20,705,0.958,Directed
20,724,0.29300000000000004,Directed
20,757,0.349,Directed
24,56,0.009,Directed
24,70,6.774,Directed
24,76,0.264,Directed
24,178,0.147,Directed
24,180,2.19,Directed
24,192,0.20600000000000002,Directed
24,196,0.004,Directed
24,226,32.316,Directed
24,251,42.669,Directed
24,380,0.01,Directed
24,414,2983.9210000000003,Directed
24,458,0.111,Directed
24,508,0.087,Directed
24,516,14.024000000000001,Directed
24,566,2.223,Directed
24,620,76.193,Directed
24,678,1.014,Directed
24,710,0.23099999999999998,Directed
24,724,14.447000000000001,Directed
24,784,0.625,Directed
24,842,0.123,Directed
28,52,0.114,Directed
28,124,0.009000000000000001,Directed
28,188,0.047,Directed
28,208,0.519,Directed
28,212,20.451999999999998,Directed
28,251,2.174,Directed
28,266,13.703,Directed
28,276,2.257,Directed
28,404,0.709,Directed
28,500,129.58599999999998,Directed
28,566,75.454,Directed
28,686,24.388,Directed
28,710,68.241,Directed
28,780,0.436,Directed
28,818,0.026,Directed
31,40,0.336,Directed
31,56,0.123,Directed
31,112,651.204,Directed
31,124,0.075,Directed
31,208,18.53,Directed
31,246,0.001,Directed
31,268,3.751,Directed
31,276,0.134,Directed
31,348,13.214,Directed
31,398,42.495999999999995,Directed
31,410,0.879,Directed
31,498,850.475,Directed
31,528,0.265,Directed
31,586,4.367,Directed
31,616,1176.471,Directed
31,643,1524.5240000000001,Directed
31,686,1.082,Directed
31,757,3.2249999999999996,Directed
31,762,18.577,Directed
31,792,1284.457,Directed
31,804,9352.307,Directed
31,860,4.25,Directed
32,24,1603.036,Directed
32,31,243.931,Directed
32,36,51.849000000000004,Directed
32,40,7785.746,Directed
32,48,158.243,Directed
32,51,6.137,Directed
32,52,121.366,Directed
32,56,136.948,Directed
32,68,21466.803,Directed
32,76,235538.601,Directed
32,84,36.679,Directed
32,100,78.442,Directed
32,104,956.5830000000001,Directed
32,112,3.4,Directed
32,116,198.63299999999998,Directed
32,120,25.851,Directed
32,124,2322.185,Directed
32,136,37.812,Directed
32,152,37965.097,Directed
32,156,4747.058,Directed
32,170,91252.659,Directed
32,188,4813.150000000001,Directed
32,192,128.793,Directed
32,196,0.045,Directed
32,203,18.212999999999997,Directed
32,204,63.455,Directed
32,208,3300.784,Directed
32,214,7680.057,Directed
32,218,41593.909,Directed
32,222,684.0150000000001,Directed
32,233,0.003,Directed
32,246,2.4450000000000003,Directed
32,251,88572.651,Directed
32,266,3916.242,Directed
32,268,2.693,Directed
32,276,3396.709,Directed
32,300,966.931,Directed
32,320,36756.253,Directed
32,328,77.876,Directed
32,340,1996.8169999999998,Directed
32,344,4.185,Directed
32,348,16.086,Directed
32,360,10986.163,Directed
32,372,89.636,Directed
32,376,502.0,Directed
32,380,2695.342,Directed
32,384,4978.8009999999995,Directed
32,388,0.406,Directed
32,392,897.134,Directed
32,398,253.30599999999998,Directed
32,400,1086.9730000000002,Directed
32,404,660.8449999999999,Directed
32,410,100826.415,Directed
32,414,717.082,Directed
32,418,1.5770000000000002,Directed
32,422,2598.122,Directed
32,426,21.835,Directed
32,440,32.132999999999996,Directed
32,442,0.005,Directed
32,458,111.889,Directed
32,466,0.574,Directed
32,470,3.9099999999999997,Directed
32,478,6.722,Directed
32,484,21440.544,Directed
32,490,526.102,Directed
32,496,76.96,Directed
32,504,12.072,Directed
32,508,8.377,Directed
32,512,98.841,Directed
32,516,26.082,Directed
32,528,1061.1889999999999,Directed
32,554,1626.007,Directed
32,558,1903.142,Directed
32,566,4.113,Directed
32,579,271.751,Directed
32,586,4022.2439999999997,Directed
32,591,4764.571000000001,Directed
32,600,85593.301,Directed
32,604,45347.295,Directed
32,608,3752.4760000000006,Directed
32,616,846.1999999999999,Directed
32,620,1.23,Directed
32,634,175.12,Directed
32,642,536.5550000000001,Directed
32,643,1663.908,Directed
32,682,2573.4770000000003,Directed
32,688,18.575,Directed
32,699,1846.917,Directed
32,702,131.331,Directed
32,704,75848.69499999999,Directed
32,705,85.085,Directed
32,710,19321.602,Directed
32,724,65931.554,Directed
32,752,708.384,Directed
32,757,623.493,Directed
32,764,49856.589,Directed
32,780,3.537,Directed
32,784,564.191,Directed
32,788,672.35,Directed
32,792,10298.27,Directed
32,804,14513.927,Directed
32,818,4058.867,Directed
32,826,496.102,Directed
32,842,27179.045000000002,Directed
32,854,0.264,Directed
32,858,46169.08,Directed
32,860,89.211,Directed
32,862,1358.305,Directed
32,894,0.094,Directed
36,4,1.954,Directed
36,12,23.832,Directed
36,20,2.6870000000000003,Directed
36,24,0.5269999999999999,Directed
36,28,926.514,Directed
36,31,36.531,Directed
36,32,18898.557,Directed
36,40,11448.98,Directed
36,48,650.72,Directed
36,50,12.097,Directed
36,51,2710.8179999999998,Directed
36,56,13525.005000000001,Directed
36,64,3.331,Directed
36,68,267.332,Directed
36,70,1.005,Directed
36,72,19.518,Directed
36,76,17568.489999999998,Directed
36,84,97.675,Directed
36,90,48.521,Directed
36,96,594.207,Directed
36,100,5083.254,Directed
36,104,7.630000000000001,Directed
36,108,1.545,Directed
36,112,3197.8,Directed
36,116,143.172,Directed
36,120,24.945,Directed
36,124,40488.306,Directed
36,136,72.086,Directed
36,140,87.431,Directed
36,144,389.449,Directed
36,152,2351.183,Directed
36,156,246438.835,Directed
36,162,107.225,Directed
36,166,16.86,Directed
36,170,4915.809,Directed
36,178,3.34,Directed
36,180,0.537,Directed
36,184,0.372,Directed
36,188,352.506,Directed
36,191,46534.516,Directed
36,192,28.871000000000002,Directed
36,196,2.067,Directed
36,203,5559.57,Directed
36,204,3.527,Directed
36,208,1692.9360000000001,Directed
36,214,668.888,Directed
36,218,11549.425000000001,Directed
36,222,1000.378,Directed
36,231,1012.2030000000001,Directed
36,232,5.319,Directed
36,233,315.139,Directed
36,238,0.969,Directed
36,242,8345.326,Directed
36,246,953.868,Directed
36,251,54576.161,Directed
36,258,242.652,Directed
36,262,110.482,Directed
36,268,49.951,Directed
36,276,828129.632,Directed
36,288,78.277,Directed
36,296,22.65,Directed
36,300,18.161,Directed
36,316,81.673,Directed
36,320,534.3050000000001,Directed
36,328,7.441,Directed
36,340,251.794,Directed
36,344,56270.45,Directed
36,348,339.865,Directed
36,352,104.514,Directed
36,360,42350.5,Directed
36,364,10920.947,Directed
36,368,323.246,Directed
36,372,8584.616,Directed
36,376,1113.068,Directed
36,380,1649.115,Directed
36,384,203.658,Directed
36,392,145527.728,Directed
36,398,2428.565,Directed
36,400,780.455,Directed
36,404,20.727,Directed
36,410,89352.48199999999,Directed
36,414,266.161,Directed
36,417,0.332,Directed
36,418,445.217,Directed
36,422,1598.603,Directed
36,428,0.663,Directed
36,440,5813.4130000000005,Directed
36,442,4.398,Directed
36,446,541.443,Directed
36,450,0.215,Directed
36,454,141.844,Directed
36,458,7896.309,Directed
36,462,9.359,Directed
36,466,59.586,Directed
36,470,1445.994,Directed
36,478,42.905,Directed
36,480,415.157,Directed
36,484,6834.702,Directed
36,490,78744.693,Directed
36,496,25.328000000000003,Directed
36,499,24.485,Directed
36,504,3369.181,Directed
36,508,15.613,Directed
36,512,41.913,Directed
36,516,58.022999999999996,Directed
36,520,217.737,Directed
36,524,64.754,Directed
36,528,77678.672,Directed
36,531,2.886,Directed
36,540,3879.134,Directed
36,548,312.105,Directed
36,554,214204.578,Directed
36,558,300.58299999999997,Directed
36,562,1985.422,Directed
36,566,36.478,Directed
36,574,302.73,Directed
36,579,282.301,Directed
36,583,96.80600000000001,Directed
36,584,16.283,Directed
36,585,1.777,Directed
36,586,59.903,Directed
36,591,439.479,Directed
36,598,9388.904999999999,Directed
36,600,13.62,Directed
36,604,1991.1370000000002,Directed
36,608,12114.717,Directed
36,616,11777.963,Directed
36,620,8.693999999999999,Directed
36,626,186.848,Directed
36,634,497.68100000000004,Directed
36,643,5170.025,Directed
36,646,3.08,Directed
36,682,5760.367,Directed
36,686,2.516,Directed
36,688,80.026,Directed
36,699,45996.875,Directed
36,702,35703.251,Directed
36,703,2181.1659999999997,Directed
36,704,20963.554,Directed
36,705,17.522,Directed
36,710,16284.303,Directed
36,716,0.323,Directed
36,724,5036.233,Directed
36,740,2.91,Directed
36,748,0.699,Directed
36,752,2068.9700000000003,Directed
36,757,43986.254,Directed
36,762,2.35,Directed
36,764,22022.333,Directed
36,768,40.144999999999996,Directed
36,776,303.227,Directed
36,780,65.22,Directed
36,784,1468.956,Directed
36,788,401.913,Directed
36,792,4753.643,Directed
36,798,0.379,Directed
36,800,121.00999999999999,Directed
36,804,5734.574,Directed
36,807,408.597,Directed
36,818,4256.118,Directed
36,826,122908.651,Directed
36,834,170.763,Directed
36,842,4923244.596,Directed
36,854,32.353,Directed
36,858,717.638,Directed
36,860,14.014,Directed
36,882,531.157,Directed
36,894,26.743,Directed
40,4,112.246,Directed
40,8,9647.314,Directed
40,12,169473.378,Directed
40,20,2.173,Directed
40,24,14.007,Directed
40,28,18.325,Directed
40,31,17887.729,Directed
40,32,81329.875,Directed
40,36,177656.00900000002,Directed
40,48,5717.088,Directed
40,50,4321.715,Directed
40,51,5150.112,Directed
40,52,398.68,Directed
40,56,1314934.423,Directed
40,64,23.366,Directed
40,68,14924.444,Directed
40,70,8343.164,Directed
40,72,29.886,Directed
40,76,695889.025,Directed
40,84,39.399,Directed
40,96,1149.987,Directed
40,100,40712.657,Directed
40,104,4.083,Directed
40,108,24.012999999999998,Directed
40,112,48276.497,Directed
40,116,20.36,Directed
40,120,74.749,Directed
40,124,618957.0989999999,Directed
40,140,10.956,Directed
40,144,24498.933,Directed
40,148,35.881,Directed
40,152,62612.361000000004,Directed
40,156,1515382.35,Directed
40,170,52051.852,Directed
40,174,2.001,Directed
40,178,13.34,Directed
40,180,28.727,Directed
40,188,51530.628,Directed
40,191,148737.09100000001,Directed
40,192,7085.851000000001,Directed
40,196,1351.898,Directed
40,203,296829.792,Directed
40,204,6.526,Directed
40,208,466218.087,Directed
40,212,1179.445,Directed
40,214,5111.879000000001,Directed
40,218,50895.292,Directed
40,222,16287.466999999999,Directed
40,231,100.795,Directed
40,232,0.013,Directed
40,233,79085.838,Directed
40,242,1.25,Directed
40,246,290268.731,Directed
40,251,1214223.308,Directed
40,258,134.267,Directed
40,262,17.797,Directed
40,266,244.92,Directed
40,268,5542.089000000001,Directed
40,275,482.773,Directed
40,276,7174817.125,Directed
40,288,103.174,Directed
40,300,57633.879,Directed
40,320,14516.028,Directed
40,324,12.621,Directed
40,328,44.924,Directed
40,332,78.298,Directed
40,340,12282.981,Directed
40,344,24739.577,Directed
40,348,94649.39,Directed
40,352,908.162,Directed
40,360,84350.51699999999,Directed
40,364,104147.223,Directed
40,368,24010.319,Directed
40,372,110302.034,Directed
40,376,63459.356,Directed
40,380,2110278.528,Directed
40,384,121.10000000000001,Directed
40,388,441.188,Directed
40,392,75951.833,Directed
40,398,167256.612,Directed
40,400,1503.701,Directed
40,404,608.03,Directed
40,410,118836.676,Directed
