country,in_degree,out_degree,betweenness,closeness,degree_centrality,eigenvector,eccentricity,year
Afghanistan,248601.199,240.963,0.0,0.526320987654321,0.27111111111111114,0.0004053485262565323,3,2016
Myanmar,439011.658,313.039,0.0,0.5872176308539945,0.4444444444444444,0.0012014262453586245,2,2016
Canada,11124008.942,8339899.061,0.2370767195767196,0.755886524822695,1.5066666666666666,0.14181073256207385,2,2016
Germany,46176231.265,75368625.959,0.01259920634920635,0.6766984126984127,1.4666666666666666,0.40910513641898877,2,2016
Honduras,424107.919,13671.651,0.03431878306878307,0.5714745308310992,0.48444444444444446,0.0020666116553372674,2,2016
CÃ´te d'Ivoire,504752.94700000004,6318.156,0.01720238095238095,0.5921111111111111,0.56,0.002980415988180413,2,2016
Kuwait,980403.851,40533.566,0.0021825396825396826,0.5856043956043956,0.49333333333333335,0.00905230948356875,2,2016
Mozambique,207832.49200000006,340.827,0.0025694444444444445,0.5551041666666667,0.3422222222222222,0.00048062867145380416,3,2016
South Africa,1862664.2459999998,521557.327,0.21080357142857142,0.6682131661442007,1.32,0.014963366614510424,2,2016
Spain,13641940.839,11659737.627,0.01316468253968254,0.64790273556231,1.3822222222222222,0.1545597112377948,2,2016
Switzerland,24070927.321,53283544.174,0.020267857142857143,0.6810223642172524,1.4355555555555555,0.25753554756844266,2,2016
Tajikistan,42500.463,101.722,0.004523809523809524,0.5508010335917313,0.31555555555555553,0.00010439471917796691,3,2016
Thailand,1989829.723,561247.495,0.11169642857142857,0.577669376693767,1.0355555555555556,0.016764865670878877,2,2016
TÃ¼rkiye,4376995.466,1280819.7210000001,0.008492063492063492,0.6125287356321839,1.2,0.04133835611385625,2,2016
Burkina Faso,203464.057,1008.04,0.039523809523809524,0.5580104712041885,0.37777777777777777,0.0018880806035095306,3,2016
Albania,177019.957,5565.72,0.0042658730158730155,0.5342355889724312,0.29333333333333333,0.0011035625489894038,3,2016
Angola,244525.23599999998,204.816,0.10253968253968254,0.5522279792746114,0.38222222222222224,0.0006500785850112681,3,2016
Barbados,62767.084,35886.955,0.0,0.5508010335917313,0.4888888888888889,0.0005789482044221341,2,2016
Congo,77545.715,33.81,0.04115079365079365,0.6038526912181303,0.49333333333333335,0.00039317051601155063,3,2016
Dominican Rep.,525959.828,178876.05000000002,0.008888888888888889,0.5872176308539945,0.8133333333333334,0.004697796197108698,2,2016
Greece,3035355.286,1313113.3460000001,0.009107142857142857,0.563915343915344,1.0266666666666666,0.02709585763156751,2,2016
Hungary,3769608.91,3971383.7150000003,0.008452380952380953,0.577669376693767,1.0,0.025605226763433492,2,2016
Italy,19440135.546,25059121.328,0.0015873015873015873,0.6142939481268012,1.2622222222222221,0.21061118993409508,2,2016
Mali,182686.00300000003,5340.7480000000005,0.014632936507936508,0.5624274406332455,0.42666666666666664,0.0011359344950152561,2,2016
Netherlands,16811509.836999997,26079602.680999998,0.00041666666666666664,0.6538650306748467,1.4355555555555555,0.19277439966179122,2,2016
Niger,74422.628,3232.23,0.009811507936507936,0.5669148936170214,0.4,0.0003857373717430784,3,2016
Senegal,266051.913,17427.626,0.0,0.5654111405835544,0.5066666666666667,0.00126647246327599,2,2016
Serbia,647782.841,223774.91,0.02115079365079365,0.563915343915344,0.6088888888888889,0.003977441482099408,2,2016
Algeria,2014001.793,6917.1140000000005,0.031785714285714285,0.5714745308310992,0.5377777777777778,0.016007440284783264,2,2016
Australia,7427364.970000001,2778793.721,0.019593253968253968,0.6382035928143713,1.2577777777777779,0.06527402799901852,2,2016
Austria,5761666.55,9233173.187,0.11753968253968254,0.6160693641618498,1.1777777777777778,0.0683175521422745,2,2016
Belgium,21271335.707000002,23573954.161000002,0.048998015873015874,0.672429022082019,1.4266666666666667,0.21357288619358109,2,2016
Cameroon,257248.385,1555.664,0.06262896825396826,0.577669376693767,0.48444444444444446,0.0014469149071713193,2,2016
Cabo Verde,14376.061999999996,177.01000000000002,0.0044444444444444444,0.49342592592592593,0.11555555555555555,1.8732518377412345e-05,3,2016
Chad,53497.878,0.833,0.0,0.49687645687645693,0.16444444444444445,0.00026629601316166193,3,2016
Benin,99358.74,524.3419999999999,0.0007142857142857143,0.5382828282828283,0.32,0.0006720815236314724,3,2016
Denmark,3731385.5450000004,12145223.362,0.0044444444444444444,0.6055681818181818,1.191111111111111,0.024918238505629724,2,2016
Finland,1996905.685,1689566.0529999998,0.24023809523809525,0.5904709141274238,0.9822222222222222,0.015089160253768635,2,2016
France,21345786.774,30772716.344,0.021845238095238095,0.7058278145695365,1.528888888888889,0.20921758043692928,2,2016
French Polynesia,77904.75600000001,306.266,0.06395833333333334,0.577669376693767,0.37333333333333335,0.0006639979167847605,2,2016
Gabon,105485.344,130.133,0.012440476190476191,0.5856043956043956,0.5066666666666667,0.000598660011838777,3,2016
"China, Hong Kong SAR",2474987.781,569298.7189999999,0.01718253968253968,0.6021468926553672,1.0,0.0194532130306273,2,2016
Iraq,1090994.868,535.538,0.0,0.5594750656167979,0.3466666666666667,0.006990805255641538,2,2016
Ireland,5871189.636000001,39960278.743,0.013035714285714286,0.6214577259475219,1.1866666666666668,0.08677881529681701,2,2016
Jordan,613263.892,996332.137,0.023115079365079366,0.584,0.8266666666666667,0.0052347577508164355,2,2016
Rep. of Korea,5384890.0309999995,4733577.648999999,0.009404761904761905,0.6682131661442007,1.3733333333333333,0.05804801825303042,2,2016
Lebanon,1073813.936,45009.938,0.011884920634920635,0.5714745308310992,0.5377777777777778,0.0075459883782404,2,2016
Libya,320776.641,3.843,0.0,0.5479691516709512,0.28444444444444444,0.0020274900407344946,2,2016
Luxembourg,425295.3540000001,588604.8570000001,0.01361111111111111,0.5410152284263959,0.6311111111111111,0.003840171292153367,2,2016
Mauritania,52558.065,526.512,0.0,0.5423918575063614,0.28888888888888886,0.0003302186642997806,2,2016
Morocco,576895.155,91607.995,0.0033928571428571428,0.5565535248041775,0.6355555555555555,0.005013911772883165,2,2016
Norway,1754085.669,959283.678,0.011031746031746031,0.5921111111111111,0.9111111111111111,0.013557471724701396,2,2016
Poland,5488218.658,3042154.921,0.009464285714285715,0.6107736389684814,1.0666666666666667,0.044972046111596845,2,2016
Saudi Arabia,5103555.911,542146.336,0.04915674603174603,0.577669376693767,0.7555555555555555,0.04204712916717959,2,2016
India,1743986.297,16523971.337000001,0.0064682539682539685,0.6306508875739645,1.4,0.01741411018412783,2,2016
Viet Nam,2641763.897,134661.21899999998,0.03978174603174603,0.5824043715846995,0.8577777777777778,0.015795645956338623,2,2016
Sudan,619986.31,1342.7740000000001,0.16368716931216928,0.5792391304347827,0.47555555555555556,0.002310953439495843,2,2016
Sweden,4139582.4540000004,7172227.575,0.017529761904761906,0.6142939481268012,1.1955555555555555,0.03631936272900573,2,2016
Tunisia,459961.392,58437.002,0.006547619047619048,0.5594750656167979,0.5511111111111111,0.003612606661406749,2,2016
North Macedonia,169353.751,76295.84700000001,0.014791666666666667,0.5479691516709512,0.4577777777777778,0.0011724030385842337,3,2016
United Kingdom,32437375.205000002,25161909.589,0.004365079365079365,0.6766984126984127,1.471111111111111,0.2983631373834454,2,2016
American Samoa,46.806,1459.3429999999998,0.0,0.42293650793650794,0.04888888888888889,6.056619106793888e-08,3,2016
New Zealand,877124.926,362092.49299999996,0.009007936507936508,0.6038526912181303,1.008888888888889,0.007182585269722231,2,2016
Slovakia,1776252.208,550710.659,0.007341269841269841,0.584,0.7555555555555555,0.01272244040320129,2,2016
Samoa,5326.124,51.052,0.07264880952380952,0.4855580865603645,0.15555555555555556,7.895763704837076e-06,3,2016
Andorra,33463.863,299.233,0.04488095238095238,0.4945707656612529,0.26222222222222225,0.00021746807845684655,2,2016
Argentina,2073920.5760000001,954577.179,0.04173611111111111,0.5565535248041775,0.8488888888888889,0.02195470882630903,2,2016
Colombia,1903131.7049999998,518737.61000000004,0.01240079365079365,0.5669148936170214,0.76,0.0186277451736459,2,2016
Estonia,404830.992,103572.071,0.021061507936507937,0.5536623376623376,0.5422222222222223,0.0026362907569784425,2,2016
Georgia,382249.306,100818.111,0.11723214285714285,0.5730107526881721,0.6444444444444445,0.0017714011922940948,2,2016
Israel,1921647.2810000002,6253390.742,0.0023214285714285715,0.5714745308310992,0.8577777777777778,0.017961164250674837,2,2016
Malta,168383.55,1624875.422,0.05005952380952381,0.5580104712041885,0.7155555555555555,0.0007925214374233059,2,2016
Mexico,3819479.657,2189356.829,0.010347222222222223,0.5594750656167979,0.9244444444444444,0.04610097111042969,2,2016
Namibia,168229.00800000003,2356.9049999999997,0.2701322751322751,0.5465641025641026,0.5111111111111111,0.00023705899527752636,3,2016
Palau,3453.422,0.368,0.013293650793650793,0.49920374707259957,0.12,2.2923214100059954e-05,3,2016
Panama,1474844.4030000002,584896.343,0.01138888888888889,0.577669376693767,0.6577777777777778,0.00835982493293111,2,2016
Peru,731665.489,50972.072,0.02651785714285714,0.5669148936170214,0.6666666666666666,0.00532271475589767,2,2016
Portugal,2568512.97,1240275.211,0.028055555555555556,0.563915343915344,1.0133333333333334,0.021032858691063843,2,2016
Qatar,503571.392,18791.579,0.0,0.5669148936170214,0.4311111111111111,0.004744522019757493,2,2016
Russian Federation,8509977.915000001,564638.3539999999,0.0004365079365079365,0.5987640449438203,0.9955555555555555,0.059546426108339164,2,2016
Singapore,2264011.743,7877073.298,0.04891865079365079,0.6251026392961877,1.1288888888888888,0.02203146206518561,2,2016
United Arab Emirates,2512102.3740000003,725885.332,0.08772156084656084,0.6072934472934474,1.0,0.024244601703000836,2,2016
Uruguay,259193.482,202818.806,0.01005952380952381,0.5508010335917313,0.6622222222222223,0.001811485312272454,2,2016
China,16923763.623,6314826.166,0.0,0.6160693641618498,1.3066666666666666,0.16762009815048382,2,2016
Dem. Rep. of the Congo,348657.272,1004.929,0.00867063492063492,0.563915343915344,0.4,0.0017997699524646298,2,2016
Guinea,178603.044,204.114,0.012132936507936508,0.5493814432989691,0.35555555555555557,0.0008483695240850925,3,2016
Sao Tome and Principe,1742.255,3.84,0.012837301587301586,0.4945707656612529,0.12444444444444444,1.754733947064274e-05,3,2016
